Years,Finalist,Winner,Outstanding Comedy Series,Outstanding Drama Series
1998,The X-Files,0,0,1
1997,3rd Rock from the Sun,0,1,0
1997,Mad About You,0,1,0
1997,Seinfeld,0,1,0
1997,The Larry Sanders Show,0,1,0
1997,Chicago Hope,0,0,1
1997,ER,0,0,1
1997,NYPD Blue,0,0,1
1997,The X-Files,0,0,1
1996,Friends,0,1,0
1996,Mad About You,0,1,0
1996,Seinfeld,0,1,0
1996,The Larry Sanders Show,0,1,0
1996,Chicago Hope,0,0,1
1996,Law & Order,0,0,1
1996,NYPD Blue,0,0,1
1996,The X-Files,0,0,1
1995,Friends,0,1,0
1995,Mad About You,0,1,0
1995,Seinfeld,0,1,0
1995,The Larry Sanders Show,0,1,0
1995,Chicago Hope,0,0,1
1995,ER,0,0,1
1995,Law & Order,0,0,1
1995,The X-Files,0,0,1
1994,Home Improvement,0,1,0
1994,Mad About You,0,1,0
1994,Seinfeld,0,1,0
1994,The Larry Sanders Show,0,1,0
1994,Law & Order,0,0,1
1994,NYPD Blue,0,0,1
1994,Northern Exposure,0,0,1
1994,Star Trek: The Next Generation,0,0,1
1993,Cheers,0,1,0
1993,Home Improvement,0,1,0
1993,Murphy Brown,0,1,0
1993,The Larry Sanders Show,0,1,0
1993,Homefront,0,0,1
1993,I'll Fly Away,0,0,1
1993,Law & Order,0,0,1
1993,Northern Exposure,0,0,1
1992,Brooklyn Bridge,0,1,0
1992,Cheers,0,1,0
1992,Home Improvement,0,1,0
1992,Seinfeld,0,1,0
1992,I'll Fly Away,0,0,1
1992,L.A. Law,0,0,1
1992,Law & Order,0,0,1
1992,Quantum Leap,0,0,1
1991,Designing Women,0,1,0
1991,Murphy Brown,0,1,0
1991,The Golden Girls,0,1,0
1991,The Wonder Years,0,1,0
1991,China Beach,0,0,1
1991,Northern Exposure,0,0,1
1991,Quantum Leap,0,0,1
1991,Thirtysomething,0,0,1
1990,Cheers,0,1,0
1990,Designing Women,0,1,0
1990,The Golden Girls,0,1,0
1990,The Wonder Years,0,1,0
1990,China Beach,0,0,1
1990,Quantum Leap,0,0,1
1990,Thirtysomething,0,0,1
1990,Twin Peaks,0,0,1
1989,Designing Women,0,1,0
1989,Murphy Brown,0,1,0
1989,The Golden Girls,0,1,0
1989,The Wonder Years,0,1,0
1989,Beauty and the Beast,0,0,1
1989,China Beach,0,0,1
1989,Thirtysomething,0,0,1
1989,Wiseguy,0,0,1
1988,Cheers,0,1,0
1988,Frank's Place,0,1,0
1988,Night Court,0,1,0
1988,The Golden Girls,0,1,0
1988,Beauty and the Beast,0,0,1
1988,L.A. Law,0,0,1
1988,St. Elsewhere,0,0,1
1987,Cheers,0,1,0
1987,Family Ties,0,1,0
1987,Night Court,0,1,0
1987,The Cosby Show,0,1,0
1987,Cagney & Lacey,0,0,1
1987,Moonlighting,0,0,1
1987,"Murder, She Wrote",0,0,1
1987,St. Elsewhere,0,0,1
1986,Cheers,0,1,0
1986,Family Ties,0,1,0
1986,Kate & Allie,0,1,0
1986,The Cosby Show,0,1,0
1986,Hill Street Blues,0,0,1
1986,Moonlighting,0,0,1
1986,"Murder, She Wrote",0,0,1
1986,St. Elsewhere,0,0,1
1985,Cheers,0,1,0
1985,Family Ties,0,1,0
1985,Kate & Allie,0,1,0
1985,Night Court,0,1,0
1985,Hill Street Blues,0,0,1
1985,Miami Vice,0,0,1
1985,"Murder, She Wrote",0,0,1
1985,St. Elsewhere,0,0,1
1984,Buffalo Bill,0,1,0
1984,Family Ties,0,1,0
1984,Kate & Allie,0,1,0
1984,Newhart,0,1,0
1984,Cagney & Lacey,0,0,1
1984,Fame,0,0,1
1984,"Magnum, P.I.",0,0,1
1984,St. Elsewhere,0,0,1
1983,Buffalo Bill,0,1,0
1983,M*A*S*H,0,1,0
1983,Newhart,0,1,0
1983,Taxi,0,1,0
1983,Cagney & Lacey,0,0,1
1983,Fame,0,0,1
1983,"Magnum, P.I.",0,0,1
1983,St. Elsewhere,0,0,1
1982,"Love, Sidney",0,1,0
1982,M*A*S*H,0,1,0
1982,Taxi,0,1,0
1982,WKRP in Cincinnati,0,1,0
1982,Dynasty,0,0,1
1982,Fame,0,0,1
1982,Lou Grant,0,0,1
1982,"Magnum, P.I.",0,0,1
1981,Barney Miller,0,1,0
1981,M*A*S*H,0,1,0
1981,Soap,0,1,0
1981,WKRP in Cincinnati,0,1,0
1981,Dallas,0,0,1
1981,Lou Grant,0,0,1
1981,Quincy M.E.,0,0,1
1981,The White Shadow,0,0,1
1980,Barney Miller,0,1,0
1980,M*A*S*H,0,1,0
1980,Soap,0,1,0
1980,WKRP in Cincinnati,0,1,0
1980,Dallas,0,0,1
1980,Family,0,0,1
